id,created_at,text
314499420584570883,2013-03-20 22:11:19,Correction: The blackout test has begun and will apply to an increasing percentage of API v1 traffic as time goes on. Thanks @timhaines ^TS
314496337150349312,2013-03-20 21:59:04,The blackout test will begin in around 5 minutes. API v1 requests will begin receiving HTTP 410 Gone. https://t.co/niJLXKjKYX ^TS
314396323635937280,2013-03-20 15:21:39,Blackout test today on the retiring REST API v1 from 3PM to 4PM PST. Expect many tweets about it throughout. https://t.co/niJLXKjKYX ^TS
314073647704862721,2013-03-19 17:59:27,"The REST API now contains a field called ""favorite_count"". It represents the approximate number of times a tweet has been favorited. ^TS"
313745208720384000,2013-03-18 20:14:21,"Reminder: API v1 Blackout Testing on Wed, March 20th at 10PM-11PM UTC (3PM-4PM PST, 7AM-8AM JST). More info: https://t.co/niJLXKjKYX ^TS"
312678546684383232,2013-03-15 21:35:49,Improved customization options for Embedded Timelines https://t.co/GQav6da3WC
312668247671574528,2013-03-15 20:54:53,A pair of small technical changes to Site and User Streams: https://t.co/YQKnbdWfXc ^ARK
311907885015769090,2013-03-13 18:33:29,"API v1 Retirement Update: OEmbed, Streaming API, and a blackout test on March 20, 2013 https://t.co/niJLXKjKYX ^TS"
311199093852618752,2013-03-11 19:37:00,Introducing application-only authentication for the Twitter REST API v1.1 https://t.co/BrLLpVyuCe ^TS
309090333021581313,2013-03-05 23:57:32,"As announced, @anywhere has been retired per https://t.co/bWXjhurvwp The js file now logs a message to the console and exits quietly. ^ARK"
309000674266456064,2013-03-05 18:01:16,"Thanks for hanging in there everyone! For more information about the API v1 Retirement Plan, see https://t.co/iE4QLDSm6n ^TS"
309000422226550784,2013-03-05 18:00:16,"This 1st blackout test is just about over. The next blackout test, which will include authenticated v1 traffic, will be announced soon. ^TS"
308999026597044226,2013-03-05 17:54:43,Unauthenticated APIv1 requests should respond with data more often than not now. The blackout test is wrapping up over the next few minutes.
308993805447737345,2013-03-05 17:33:58,We're now entering the phase of the test where we'll begin allowing unauthenticated API v1 traffic again.. gradually. ^TS
308993256149102592,2013-03-05 17:31:47,"We're still running our blackout test against API v1 unauthenticated traffic. Affected calls will get a ""HTTP 410 Gone"" response. ^TS"
308989800298471424,2013-03-05 17:18:03,Notice unauthenticated requests or old widgets not working right now? We're performing blackout tests on API v1.1. https://t.co/iE4QLDSm6n
308988131724648448,2013-03-05 17:11:25,The blackout test on unauthenticated calls is beginning now. It will take a few minutes to be totally in effect. https://t.co/iE4QLDSm6n ^TS
308984498538807297,2013-03-05 16:56:59,The planned blackout tests on unauthenticated requests will begin in approximately five minutes. Follow along for updates throughout. ^TS
308951565014822912,2013-03-05 14:46:07,"Additionally, the @Anywhere Javascript-based Twitter API framework will be permanently retired today. ^TS"
